Date;OR FP Equity;DG FP Equity;TTE FP Equity;AI FP Equity;DSY FP Equity;CS FP Equity;ERF FP Equity;BNP FP Equity;BN FP Equity;CAP FP Equity;CA FP Equity;SGO FP Equity;AC FP Equity;EL FP Equity;VIV FP Equity;MC FP Equity;ML FP Equity;KER FP Equity;PUB FP Equity;RNO FP Equity;SAF FP Equity;HO FP Equity;TEP FP Equity;RMS FP Equity;ENGI FP Equity;ORA FP Equity;MT NA Equity;EN FP Equity;VIE FP Equity;SAN FP Equity;GLE FP Equity;SU FP Equity;AIR FP Equity;LR FP Equity;URW FP Equity;ACA FP Equity;RI FP Equity;STMPA FP Equity
14/10/2022;326.35;84.34;52.2;107.8545;33.525;23.72;62.62;44.06;47.975;161.45;14.84;38.82;21.84;155.35;7.854;625.2;22.825;448;53.58;30.745;102.24;110.8;257;1274.5;11.944;9.32;21.655;26.61;20.28;81.57;22.215;121.88;96.59;70;43.04;8.537;177.75;32
21/10/2022;310.1;86.14;52.97;110.9091;34.395;24.23;61.84;46.38;47.63;164.45;15.21;39.205;22.23;153.45;7.882;631.5;23.64;454.1;57.3;32.76;108.14;117.95;263.3;1304;12.22;9.45;23.315;27.33;21.6;81.57;22.625;125.42;100.92;72.7;43.8;8.931;172.35;33.315
28/10/2022;314.25;93.28;54.59;121.2909;34.485;24.94;65.32;47.285;49.805;172.05;16.12;41.195;23.93;161.45;8.17;649.3;26.005;463.75;56.26;31.3;113.7;129;273.4;1320;13.096;9.546;22.395;28.72;22.67;86.2;22.925;130.22;110;77.64;46.785;9.137;175.85;31.785
04/11/2022;321.4;96;57.76;120.8364;33.415;25.915;64.96;50.63;50.04;160.3;16.42;41.71;24.2;161.8;8.376;666.2;25.73;503.4;57.78;30.515;113.6;125.35;273;1357;13.538;9.76;23.51;29.53;23.28;87.88;24.1;131.64;114;74.08;48.49;9.627;182.8;31.905
11/11/2022;346.8;95.31;57.03;122.8;37.4;26.59;71.88;51.76;49.33;181.9;16.115;45.33;25.35;170.9;8.656;706.2;26.68;543.6;63.1;32.53;110.8;112.25;190;1468;13.99;9.678;26.07;30.3;23.59;82.43;23.925;141.98;113;80.06;55.45;9.54;186.95;35.88
18/11/2022;348.1;95.44;57.4;124.2182;36.245;27.08;66.26;53.31;49.885;178.05;16.25;44.315;24.47;173.35;8.45;698.2;26.27;551.1;62.2;33.045;114.74;117;224.5;1470;14.38;9.806;25.075;28.89;24.82;86.04;24.03;142.28;114.64;79.44;51.5;9.705;185.7;36.995
25/11/2022;350.25;97.08;58.44;128.6364;36.29;27.27;68.26;53.33;50.47;179.9;16.545;45.305;24.79;175.2;8.708;700.2;26.825;545.3;63.6;33.77;117.22;122.8;212.1;1478.5;14.428;9.93;25.53;29.79;25.06;87.54;24.295;142.32;113.82;80.16;52.75;9.738;186.9;37.19
02/12/2022;360.75;98.25;58.89;127.7273;36.72;27.39;68.76;52.75;51.22;177.65;16.745;45.69;25.21;180.55;8.952;715.3;27.135;559.7;63.22;34.6;117.16;121.9;228.5;1520.5;14.454;9.654;25.665;29.92;24.98;85.77;23.385;140.48;110.98;79.6;51.32;9.529;190.7;36.695
09/12/2022;355;98.62;56.29;124.4;34.785;27.35;66.18;52.89;50.21;171.95;16.525;46.8;26.04;179.75;9;720.3;26.65;523.5;61.04;34.405;117.18;120;224.7;1528.5;14.384;9.299;25.955;29.44;25.23;88.73;22.63;138.38;111.64;79.12;52.49;9.553;186.35;36.895
16/12/2022;335.75;92.39;55.66;120.6909;34.165;26.03;62.74;52.54;48.625;159.45;15.575;44.61;23.94;170.95;8.67;693.8;25.84;491.05;59.44;32.695;115.82;119.5;213.6;1486.5;13.892;9.18;24.06;28.26;24.23;87.62;22.405;130.82;109.98;76.66;49.42;9.384;182.95;34.94
23/12/2022;333.25;94.19;59.21;121.5455;33.305;26.43;66.18;53.8;49.965;155.6;16.045;46.14;23.72;170.05;8.94;673.8;26.605;471.95;59.8;31.395;117.56;118.6;220.7;1443;13.582;9.359;25.075;28.48;23.93;90.98;23.57;131.18;111.74;75.58;48.925;9.765;184.95;33.605
30/12/2022;333.6;93.29;58.65;120.3636;33.495;26.055;67.06;53.25;49.23;155.95;15.64;45.65;23.35;169.2;8.914;679.9;25.985;475.5;59.42;31.275;116.92;119.3;222.7;1445;13.388;9.281;24.575;28.04;24;89.84;23.48;130.72;111.02;74.82;48.63;9.831;183.75;32.995
06/01/2023;358.6;98.48;58.68;128.4364;35.085;27.345;66.16;59.11;49.645;165.65;16.015;52.38;25.55;176.1;9.45;748.8;28.92;527.6;62.06;36.145;122.4;115.95;234.5;1591.5;12.946;9.891;26.985;29.86;26.53;91.12;25.51;141.9;116.54;79.48;52.88;10.518;186.3;35.445
13/01/2023;373.9;101.38;59.73;129.2727;35.595;27.81;64.46;59.86;49.72;170.9;16.565;53.25;28.08;173.85;9.572;785.3;29.305;563.6;62.54;37.135;126.54;112.85;245.5;1651;13.324;9.919;28.545;29.97;26.86;91.18;24.7;148.38;116.84;81.58;56.76;10.488;193.9;37.855
20/01/2023;380.4;103.68;58.85;131.6727;34.29;28.255;63.84;59.65;50.35;170.8;17.345;52.82;29.12;174.45;9.606;782.8;28.29;531.6;62.18;36.48;129.42;120.25;250.9;1628;12.522;9.617;28.3;29.8;26.65;90.73;24.48;143.44;118.92;81.02;55.74;10.514;191.5;38.055
